,Tweets
6,"RT @LlopisMarta95: Volodymyr Zelensky: Glory to the Air Force of the Armed Forces of Ukraine! You protect the Ukrainian skies, professional…"
578,"@abierkhatib #gazaunderattack
#IsraeliTerrorism 
#IsraeliCrimes 
#Ukraine"
966,"@_Kittypunk @SilkeLutz So vom Design eher etwas unmodern, diese #AKW in der #Ukraine :-)"
208,"RT @GilbertCollard: L'ONG #Amnesty International peut dénoncer tout le monde, et être approuvée, applaudie, sauf, sauf, sauf... quand il s'…"
623,"RT @KYTKYTKYTKYTKYT: H συναλλαγαμτική ""κατρακύλα"" της Ουκρανίας συνεχίζεται ακακετη!

#Ουκρανία #UkraineRussiaWar #Ukraine #Ukrainian #Russ…"
88,"RT @VaticanNews: ""The departure of the first Ukrainian ships carrying tons of grain demonstrates that an international agreement has been a…"
126,RT @sandumaiamd: Appalled &amp; horrified by #Russia’s killing of 🇺🇦POWs at #Olenivka correctional facility. This unjustified war against #Ukra…
596,"RT @Decade3PW: @AkanKwaku @Yazzy_321 you left off dangerous, anti-citizen liars and embezzlers

@cabinetofficeuk @Keir_Starmer @LibDems @th…"
587,"RT @odessacats: It's Black Friday at the shelter - we are inviting people to adopt a black cat🐈‍⬛🐾, because there are so many of them and t…"
957,"❗️🇺🇦Обращение матерей и жен укровоинов 56-ой отдельной мотопехотной бригады к Зеле, с требованием вернуть их сынове… https://t.co/cl57JpkBCO"
640,"@guardiannews #gazaunderattack
#IsraeliTerrorism 
#IsraeliCrimes 
#Ukraine"
620,"Collection - Mr. Majestic 🌱
Day 25🗓️
0.39 #SOL

https://t.co/pLgepF5yVJ

#NFT #NFTs #NFTartist #cryptoartist… https://t.co/QJVMBsemRx"
592,"@Pal_action #gazaunderattack
#IsraeliTerrorism 
#IsraeliCrimes 
#Ukraine"
116,"Content analysis:
This article scores 76/100. The complete report can be viewed here: https://t.co/GwSmdws4Gb
(I'm… https://t.co/KseAmMqcBt"
725,"#Ukraine #Russland #UkraineRussianWar #Ukrainekrieg #Russia 

.

Für den Krieg in der Ukraine: Nordkorea will Putin… https://t.co/t57uGM6k6i"
263,"Schriftsteller Christoph Brumme  - Vom Alltag im ukrainischen Kriegsgebiet #Ukraine 
https://t.co/lDJ2zeVwPH"
799,"RT @Dmytro_Bondar_: 🇷🇺 LOSSES. OFFICIAL
🆘Help 🇺🇦 army now https://t.co/wL6WYalxnQ
😡165th day of  #russian🇷🇺 #WAR in #Ukraine on 7.08.22
#St…"
837,If you're curious about the truth and want to see the absolute state of the media watch RODGER WATERS school CNN on… https://t.co/eiQkwA1d1c
683,RT @AlinaSopranoUA: The price of bread in Ukraine.😔🥺😭 #russiaisaterrorisstate #Ukraine #UkraineRussianWar https://t.co/hoAhmdFK8P
94,"RT @GlasnostGone: The nightmare world of occupied #Ukraine. In Kherson city, the smoke from mobile incinerators fills the air - as Russia b…"
260,"Gå FUCK själv, Putin!
(Swedish)

#Ukraine #PutinsWar #FuckPutin #RussianWarCrimes"
780,"RT @DABornhoeft: Hej @amnesty_de @amnesty - wie kommentiert Ihr es,wenn russisches Militär Hände und Köpfe von ukrainischen Kriegsgefangene…"
325,"RT @Valere_ia: #NorthKorea wants to test its attack drones in #Ukraine - have offered equipment and troops as 100,000 North
Korean soldiers…"
87,RT @edgarsrinkevics: 14 years ago #Russia began the war against #Georgia. If the aggression was stopped by the international community then…
980,"RT @Militarylandnet: ✍️Russian Invasion - Day 164 | Summary of the situation + detailed maps. 
#UkraineRussiaWar #Ukraine #maps 
Available…"
222,RT @Messypouokam: @mhmck Yesterday Ukrainian forces destroyed 6 warehouses and 3 command posts of the occupiers in the south of the country…
503,"RT @photograshiori: ウクライナで起きている性暴力、そして戦禍から子どもを守り生活するお母さん達にお話を伺いました。今後、写真と共にお伝えしていけたらと思います。
https://t.co/6eeGTy1nPJ   #d4p #Ukraine https://…"
563,"Ukraine's nuclear agency says Russian rockets have damaged part of a giant Russian-controlled nuclear power plant,… https://t.co/B9aZ9JyOwn"
593,"#Ukraine ?!
No, it is #Gaza .
Ok, back to sleep.

 https://t.co/3oNrn7gNJb"
10,"RT @artemi_ecrit: Böse Kritik an Kim Jong-un: „Der lässt die Menschen frieren für die eigene Rüstung!“ Ja, uns lässt man frieren, damit man…"
581,"RT @awwikanadi: Day 164.
Kim Jong Un has signaled to help Russia in the form of equipment assistance to build houses &amp; buildings. Including…"
588,"RT @36_lossi: With #Russia’s war against #Ukraine, the security threat in #Moldova is also questioned, with the previously considered froze…"
460,RT @suzyq8825: 🇺🇦🇺🇦🥳🥳🙏🏼👏👏🇺🇦🇺🇦🇺🇦🇺🇦#UkraineOwnsUkraine 🇺🇦🇺🇦🇺🇦#Russia has lost 50% of their Military equipment &amp; personnel 🤔destroyed by #Ukra…
220,[2022-08-07 12:00] BBC Top Headline (2 of 3): New convoy of grain ships sets sail from Ukraine. Four vessels leave… https://t.co/9iTZh6uMUs
988,"@kiraincongress good luck 👏🌷
#StandWithUkraine  #Ukraine"
36,"RT @KYTKYTKYTKYTKYT: Οι κάτοικοι της Ποπάσναγια περιέγραψαν τη στάση των Ουκρανών στρατιωτών απέναντι στον άμαχο πληθυσμό:
Απείλησαν τους ν…"
